path,Speaker_median_age,Speaker_gender,Speaker_name
/home/peterr/macocu/task11/data_age/seg.on9WnAhubWg_12584.33-12599.73.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.IF1blZ6YSMA_15104.48-15124.11.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.IF1blZ6YSMA_15143.3-15163.11.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.wRedcoBr6Qk_10795.62-10814.97.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.9UCrtnKBgqs_15502.17-15521.49.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.wRedcoBr6Qk_10076.27-10088.25.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.HlauTe_NK6U_12901.39-12921.09.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.O-3YNW9gAaw_2696.35-2708.53.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.j2243qnSAZc_21233.62-21248.91.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.0m0xyKyqqlA_11494.42-11513.98.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.fZOW76tl9E8_4804.71-4824.57.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.Hr5kNf8OytU_20655.38-20675.35.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.l8zdyfQzMbc_19852.92-19872.83.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.4f2EekXCNas_11009.41-11029.29.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.JxzqEMWNUro_18454.09-18474.04.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.HJps7tTjkpg_4081.55-4101.43.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.IF1blZ6YSMA_15234.5-15254.03.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.a6kB3x0gDRo_6441.06-6460.96.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.bFuM6vBlCQE_9221.17-9230.97.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.d2D71aNeq5Y_19443.28-19462.34.wav,40.5,F,"Petrijevčanin Vuksanović, Irena"
/home/peterr/macocu/task11/data_age/seg.4KAefCQbnnM_19383.88-19398.79.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.vsnqvRMj2N8_6871.57-6891.57.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.8DJUjkE6g2A_8727.99-8738.17.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.4KAefCQbnnM_19102.16-19122.05.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.MpLv6KlBcpQ_21543.76-21563.16.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.SvOjrvZ4PlY_13370.79-13390.59.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.kr7AcaY6GaU_5109.05-5128.65.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.bFuM6vBlCQE_22512.56-22532.47.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.kr7AcaY6GaU_5366.46-5386.24.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.oF5_Yejpjgc_8753.85-8773.73.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.0n_W0iHVhpU_2981.15-3001.09.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.4WVLXQtcQ5c_13362.06-13381.34.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.C2P-jPLGFSk_15888.48-15907.92.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.GfIdrQfYN4A_4357.81-4375.2.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.oF5_Yejpjgc_8910.89-8930.14.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.PAKRaXXMxVY_10184.97-10204.93.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.8DJUjkE6g2A_8606.69-8626.43.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.xC6B2N9RvdQ_9433.44-9453.12.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.CjM2LMQC4gg_18447.44-18467.31.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.vHkd_51GnAM_15083.96-15103.85.wav,59.0,F,"Makar, Božica"
/home/peterr/macocu/task11/data_age/seg.y2d5LOhu3Zk_11274.73-11290.55.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.3BpXkh8n9Rw_4465.21-4485.01.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.14gZyn_QyTw_11838.15-11857.79.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.y9Sce1RIPM8_14066.82-14085.78.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.y2Vs3GXDVyk_16067.69-16087.28.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.-EO06cT21uY_5083.61-5103.24.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.TFTtk2nFs6I_12099.04-12118.84.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.3BpXkh8n9Rw_4515.49-4535.02.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.vUcOuoVdoMg_8324.23-8344.15.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.8LAI5kcBfVs_16780.26-16793.82.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.CgZu2BS9DIo_969.85-989.37.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.C-7-3Cxi7WU_5500.9-5520.11.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.HJps7tTjkpg_6429.22-6449.2.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.1DSAO-5loYo_4113.74-4129.89.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.rC8whgT9jrU_12006.53-12026.34.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.05ONqG97F-0_2929.82-2949.52.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.gQz37Zto7cE_6452.07-6464.31.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.3ELsSguCWM4_7229.02-7248.95.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.08nTrgdbSeM_4165.99-4180.83.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.y2d5LOhu3Zk_11599.63-11618.72.wav,53.0,F,"Juričev-Martinčev, Branka"
/home/peterr/macocu/task11/data_age/seg.DUsdmFyClVI_2296.14-2315.9.wav,46.5,F,"Jelkovac, Marija"
/home/peterr/macocu/task11/data_age/seg.YaBXOzUUd-0_2767.74-2786.8.wav,46.5,F,"Jelkovac, Marija"
/home/peterr/macocu/task11/data_age/seg.fO_0QkfOgis_4828.35-4846.17.wav,46.5,F,"Jelkovac, Marija"
