path,Speaker_name,split
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_12042.5-12062.39.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10882.27-10901.74.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10822.1-10841.86.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10782.32-10802.31.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_11066.39-11086.05.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10901.74-10921.66.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_18654.23-18674.1.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10727.66-10741.24.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10668.34-10688.24.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10762.53-10782.32.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_12022.67-12042.5.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_12062.42-12082.35.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10688.24-10708.0.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10802.94-10822.07.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10921.69-10941.59.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_11046.65-11066.39.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10648.52-10668.34.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10742.64-10762.5.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10708.0-10727.66.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_18614.94-18634.48.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_18634.51-18654.23.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10862.53-10882.14.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-EO06cT21uY_10842.65-10862.53.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-aa4kot7dUU_14413.35-14432.91.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-aa4kot7dUU_14374.11-14393.93.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-aa4kot7dUU_10984.52-11004.51.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-aa4kot7dUU_14393.93-14413.35.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.-aa4kot7dUU_14433.29-14452.99.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.0n_W0iHVhpU_12277.76-12297.45.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.0n_W0iHVhpU_11931.92-11951.73.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.0n_W0iHVhpU_12101.42-12121.17.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.0n_W0iHVhpU_12081.81-12101.18.wav,"Đujić, Saša",train
/home/peterr/macocu/task11/data_speaker_id/seg.0n_W0iHVhpU_11501.27-11520.8.wav,"Đujić, Saša",train
