path,Party_status
data_party_status/seg.rFVDr4ghXlQ_10620.07-10632.05.wav,Coalition
data_party_status/seg.NsYt6iW4zeI_7962.04-7975.62.wav,Opposition
data_party_status/seg.LfkFqOr01h4_2136.52-2155.87.wav,Coalition
data_party_status/seg.y1P0xTGUfkQ_9793.72-9813.33.wav,Opposition
data_party_status/seg.K9IqJo93eoM_9246.87-9266.54.wav,Coalition
data_party_status/seg.btzBgb-_Skc_17878.05-17892.12.wav,Opposition
data_party_status/seg.Yht1wCkxWF4_11315.25-11335.06.wav,Coalition
data_party_status/seg.gS-innlbd7Q_3680.85-3700.65.wav,Coalition
data_party_status/seg.-k1z8behXXg_5536.1-5555.63.wav,Opposition
data_party_status/seg.-aa4kot7dUU_5410.75-5422.5.wav,Opposition
data_party_status/seg.WlyHHY4GAuA_2809.73-2829.72.wav,Opposition
data_party_status/seg.4OANjyvK28Q_8724.19-8738.39.wav,Opposition
data_party_status/seg.9wxLAtT0uyc_15061.32-15081.15.wav,Opposition
data_party_status/seg.OI1RRs1lbh0_8274.46-8287.86.wav,Coalition
data_party_status/seg.KMGKU5I8aUQ_7696.97-7716.26.wav,Opposition
data_party_status/seg.KMGKU5I8aUQ_12213.06-12232.89.wav,Opposition
data_party_status/seg.sHx_NsegXkY_2038.62-2057.71.wav,Opposition
data_party_status/seg.3bkC9ujsy_o_16618.19-16637.4.wav,Coalition
data_party_status/seg.d2D71aNeq5Y_21100.53-21110.56.wav,Opposition
data_party_status/seg.YODoaZEf0AA_13947.7-13964.41.wav,Opposition
data_party_status/seg.1qhxcYJg5yk_4792.81-4812.57.wav,Coalition
data_party_status/seg.BDN60AFiiYo_10679.55-10691.46.wav,Coalition
data_party_status/seg.cI9XslP_dOw_8750.5-8770.14.wav,Opposition
data_party_status/seg.Pm2I_V_CTSQ_18049.35-18069.03.wav,Opposition
data_party_status/seg.8AWHBpKrfTM_5926.57-5946.55.wav,Opposition
data_party_status/seg.vJ4gib9EDcU_17393.63-17413.18.wav,Opposition
data_party_status/seg.C2P-jPLGFSk_11893.88-11913.42.wav,Coalition
data_party_status/seg.KI13qayBo6w_2166.68-2183.8.wav,Opposition
data_party_status/seg.pdu9uNVkWIA_5294.24-5313.77.wav,Opposition
data_party_status/seg.fO_0QkfOgis_12467.3-12481.43.wav,Coalition
data_party_status/seg.m0_tp7wqYxI_10007.8-10027.27.wav,Coalition
data_party_status/seg.xbgYVKmXxg8_23488.5-23507.71.wav,Opposition
data_party_status/seg.xEa2KjNWHt0_3769.55-3789.44.wav,Opposition
data_party_status/seg.Zew7iCnGSwo_11255.61-11273.35.wav,Opposition
data_party_status/seg.TzVxVXtuwl4_5216.56-5235.81.wav,Opposition
data_party_status/seg.JxzqEMWNUro_14355.29-14375.25.wav,Opposition
data_party_status/seg.p59_k3C9hq4_16255.96-16275.38.wav,Opposition
data_party_status/seg.OjQV7hrE9vE_16797.6-16817.14.wav,Coalition
data_party_status/seg.rojNZzA-im4_15284.82-15302.35.wav,Coalition
data_party_status/seg.cJuiEqOfbV8_17061.87-17081.59.wav,Opposition
data_party_status/seg.LFVfcCY2ebk_2954.34-2974.32.wav,Coalition
data_party_status/seg.CjM2LMQC4gg_4425.09-4445.09.wav,Opposition
data_party_status/seg.Ejm2NksW8VU_7983.14-8002.64.wav,Opposition
data_party_status/seg.TzVxVXtuwl4_12438.77-12448.54.wav,Opposition
data_party_status/seg.oxaHSUqmkFo_3950.18-3969.84.wav,Coalition
data_party_status/seg.sNj4gAryiVM_2041.97-2058.45.wav,Opposition
data_party_status/seg.NsYt6iW4zeI_14913.95-14933.62.wav,Coalition
data_party_status/seg.pF8JV-wbmAA_3974.57-3992.96.wav,Coalition
data_party_status/seg.jvTAOH_dT0E_12435.69-12453.51.wav,Coalition
data_party_status/seg.AUZxNF3C_8A_2466.28-2482.46.wav,Coalition
data_party_status/seg.jrVLGLmlYGA_2554.27-2574.14.wav,Opposition
data_party_status/seg.aN0EGs6FYRk_1105.89-1125.38.wav,Coalition
data_party_status/seg.zIjE0oB5OIg_2600.79-2620.45.wav,Opposition
data_party_status/seg.Jnoeay6g96I_8532.73-8552.46.wav,Opposition
data_party_status/seg.wIZU5TbDct4_15506.84-15526.71.wav,Coalition
data_party_status/seg.zzEYIorfRmM_11308.36-11327.6.wav,Coalition
data_party_status/seg.8YoRepMrTfc_9578.51-9592.76.wav,Opposition
data_party_status/seg.N2W0YV7Osxs_8654.72-8665.63.wav,Opposition
data_party_status/seg.l8zdyfQzMbc_14135.72-14154.34.wav,Opposition
data_party_status/seg.ccxh8m_cg3A_15344.7-15363.41.wav,Opposition
data_party_status/seg.vsnqvRMj2N8_3735.12-3754.67.wav,Coalition
data_party_status/seg.sS-59mIBXVc_17013.1-17032.97.wav,Opposition
data_party_status/seg.-EO06cT21uY_7754.39-7763.55.wav,Opposition
data_party_status/seg.OtjBtkE-rKI_10144.35-10164.18.wav,Opposition
data_party_status/seg.CYBkG0--J8c_13161.15-13173.11.wav,Coalition
data_party_status/seg.VyeKrbwhKN0_21251.38-21267.28.wav,Opposition
data_party_status/seg.mGJ-n2xBISA_3600.56-3619.62.wav,Coalition
data_party_status/seg.Ko5OBGRMETo_11954.26-11968.43.wav,Coalition
data_party_status/seg.SpYPAZPO3hE_18767.79-18787.46.wav,Opposition
data_party_status/seg.IAOBdyNMgYQ_21694.19-21711.24.wav,Coalition
data_party_status/seg._QfqIOIdu_E_3559.5-3567.7.wav,Opposition
data_party_status/seg.6gTpUiJHZbw_2265.06-2282.74.wav,Coalition
data_party_status/seg.vRMwK8TW_tw_16551.18-16561.34.wav,Opposition
data_party_status/seg.eWxcWiMNqe4_1689.0-1699.46.wav,Opposition
data_party_status/seg.EirDCC44N3g_2979.57-2995.7.wav,Opposition
data_party_status/seg.qne0Iegffug_12849.89-12866.66.wav,Opposition
data_party_status/seg.y2Vs3GXDVyk_15662.93-15682.37.wav,Opposition
data_party_status/seg.zzEYIorfRmM_11125.56-11145.35.wav,Coalition
data_party_status/seg.c_TlJMA1HVk_4149.7-4169.66.wav,Coalition
data_party_status/seg.hABuzXDgV50_16531.13-16548.52.wav,Coalition
data_party_status/seg.wOAqH3oeT98_14981.73-14999.11.wav,Opposition
